Feature,Importance
Response,0.27538170417813485
AcceptedCmp3,0.19566108474720748
AcceptedCmp4,0.1778142358301041
AcceptedCmp5,0.1589010523017416
AcceptedCmp1,0.14349678515850067
AcceptedCmp2,0.017492278981435596
MntWines,0.010797198443101837
Education,0.0055838059240883664
NumWebVisitsMonth,0.004522544065454041
Income,0.004139509480358111
MntFishProducts,0.0023656384342374977
Marital_Status_Married,0.002135645808686631
NumStorePurchases,0.0017085166469493047
Marital_Status_Divorced,0.0
Marital_Status_Alone,0.0
Complain,0.0
Marital_Status_Single,0.0
Z_Revenue,0.0
Z_CostContact,0.0
Marital_Status_Together,0.0
Marital_Status_Widow,0.0
YYYY_Customer,0.0
Year_Birth,0.0
NumCatalogPurchases,0.0
NumWebPurchases,0.0
NumDealsPurchases,0.0
MntGoldProds,0.0
MntSweetProducts,0.0
MntMeatProducts,0.0
MntFruits,0.0
Recency,0.0
Teenhome,0.0
Kidhome,0.0
Marital_Status_YOLO,0.0
