False Positive Rate,True Positive Rate,AUC,Class
0.0,0.0,1.0,Class 0
0.0,0.21296296296296297,1.0,Class 0
0.0,0.345679012345679,1.0,Class 0
0.0,0.49074074074074076,1.0,Class 0
0.0,0.595679012345679,1.0,Class 0
0.0,0.6666666666666666,1.0,Class 0
0.0,0.7314814814814815,1.0,Class 0
0.0,0.7839506172839507,1.0,Class 0
0.0,0.8179012345679012,1.0,Class 0
0.0,0.8580246913580247,1.0,Class 0
0.0,0.8950617283950617,1.0,Class 0
0.0,0.9104938271604939,1.0,Class 0
0.0,0.9135802469135802,1.0,Class 0
0.0,0.9197530864197531,1.0,Class 0
0.0,0.9320987654320988,1.0,Class 0
0.0,0.9382716049382716,1.0,Class 0
0.0,0.9567901234567902,1.0,Class 0
0.0,0.9691358024691358,1.0,Class 0
0.0,0.9783950617283951,1.0,Class 0
0.0,0.9814814814814815,1.0,Class 0
0.0,0.9876543209876543,1.0,Class 0
0.0,1.0,1.0,Class 0
0.06666666666666667,1.0,1.0,Class 0
0.08333333333333333,1.0,1.0,Class 0
0.10833333333333334,1.0,1.0,Class 0
0.125,1.0,1.0,Class 0
0.15,1.0,1.0,Class 0
0.20833333333333334,1.0,1.0,Class 0
0.225,1.0,1.0,Class 0
0.2916666666666667,1.0,1.0,Class 0
0.325,1.0,1.0,Class 0
0.35,1.0,1.0,Class 0
0.39166666666666666,1.0,1.0,Class 0
0.44166666666666665,1.0,1.0,Class 0
0.4583333333333333,1.0,1.0,Class 0
0.5166666666666667,1.0,1.0,Class 0
0.5416666666666666,1.0,1.0,Class 0
0.5833333333333334,1.0,1.0,Class 0
0.5916666666666667,1.0,1.0,Class 0
0.65,1.0,1.0,Class 0
0.6916666666666667,1.0,1.0,Class 0
0.725,1.0,1.0,Class 0
0.775,1.0,1.0,Class 0
0.8166666666666667,1.0,1.0,Class 0
0.8833333333333333,1.0,1.0,Class 0
1.0,1.0,1.0,Class 0
0.0,0.0,0.9975328947368421,Class 1
0.0,0.013157894736842105,0.9975328947368421,Class 1
0.0,0.02631578947368421,0.9975328947368421,Class 1
0.0,0.05263157894736842,0.9975328947368421,Class 1
0.0,0.07894736842105263,0.9975328947368421,Class 1
0.0,0.11842105263157894,0.9975328947368421,Class 1
0.0,0.13157894736842105,0.9975328947368421,Class 1
0.0,0.17105263157894737,0.9975328947368421,Class 1
0.0,0.19736842105263158,0.9975328947368421,Class 1
0.0,0.21052631578947367,0.9975328947368421,Class 1
0.0,0.23684210526315788,0.9975328947368421,Class 1
0.0,0.25,0.9975328947368421,Class 1
0.0,0.27631578947368424,0.9975328947368421,Class 1
0.0,0.2894736842105263,0.9975328947368421,Class 1
0.0,0.32894736842105265,0.9975328947368421,Class 1
0.0,0.3815789473684211,0.9975328947368421,Class 1
0.0,0.40789473684210525,0.9975328947368421,Class 1
0.0,0.4473684210526316,0.9975328947368421,Class 1
0.0,0.47368421052631576,0.9975328947368421,Class 1
0.0,0.5131578947368421,0.9975328947368421,Class 1
0.0,0.5263157894736842,0.9975328947368421,Class 1
0.0,0.5526315789473685,0.9975328947368421,Class 1
0.0,0.5657894736842105,0.9975328947368421,Class 1
0.0,0.6052631578947368,0.9975328947368421,Class 1
0.0,0.631578947368421,0.9975328947368421,Class 1
0.0,0.75,0.9975328947368421,Class 1
0.0,0.7763157894736842,0.9975328947368421,Class 1
0.002717391304347826,0.8026315789473685,0.9975328947368421,Class 1
0.005434782608695652,0.8026315789473685,0.9975328947368421,Class 1
0.005434782608695652,0.8157894736842105,0.9975328947368421,Class 1
0.008152173913043478,0.8421052631578947,0.9975328947368421,Class 1
0.008152173913043478,0.9078947368421053,0.9975328947368421,Class 1
0.010869565217391304,0.9342105263157895,0.9975328947368421,Class 1
0.01358695652173913,0.9473684210526315,0.9975328947368421,Class 1
0.016304347826086956,0.9736842105263158,0.9975328947368421,Class 1
0.021739130434782608,0.9868421052631579,0.9975328947368421,Class 1
0.02717391304347826,0.9868421052631579,0.9975328947368421,Class 1
0.03260869565217391,0.9868421052631579,0.9975328947368421,Class 1
0.03804347826086957,0.9868421052631579,0.9975328947368421,Class 1
0.043478260869565216,0.9868421052631579,0.9975328947368421,Class 1
0.04619565217391304,1.0,0.9975328947368421,Class 1
0.057065217391304345,1.0,0.9975328947368421,Class 1
0.08152173913043478,1.0,0.9975328947368421,Class 1
0.09239130434782608,1.0,0.9975328947368421,Class 1
0.10054347826086957,1.0,0.9975328947368421,Class 1
0.10597826086956522,1.0,0.9975328947368421,Class 1
0.12228260869565218,1.0,0.9975328947368421,Class 1
0.125,1.0,0.9975328947368421,Class 1
0.14130434782608695,1.0,0.9975328947368421,Class 1
0.17391304347826086,1.0,0.9975328947368421,Class 1
0.1875,1.0,0.9975328947368421,Class 1
0.20652173913043478,1.0,0.9975328947368421,Class 1
0.23097826086956522,1.0,0.9975328947368421,Class 1
0.26902173913043476,1.0,0.9975328947368421,Class 1
0.36684782608695654,1.0,0.9975328947368421,Class 1
0.4320652173913043,1.0,0.9975328947368421,Class 1
0.5380434782608695,1.0,0.9975328947368421,Class 1
0.6684782608695652,1.0,0.9975328947368421,Class 1
0.8070652173913043,1.0,0.9975328947368421,Class 1
1.0,1.0,0.9975328947368421,Class 1
0.0,0.0,0.9862484420440383,Class 2
0.0,0.034482758620689655,0.9862484420440383,Class 2
0.0,0.10344827586206896,0.9862484420440383,Class 2
0.0,0.1724137931034483,0.9862484420440383,Class 2
0.0,0.3103448275862069,0.9862484420440383,Class 2
0.0,0.4482758620689655,0.9862484420440383,Class 2
0.0,0.5862068965517241,0.9862484420440383,Class 2
0.0024096385542168677,0.6206896551724138,0.9862484420440383,Class 2
0.0024096385542168677,0.6896551724137931,0.9862484420440383,Class 2
0.0024096385542168677,0.7586206896551724,0.9862484420440383,Class 2
0.007228915662650603,0.7586206896551724,0.9862484420440383,Class 2
0.00963855421686747,0.7931034482758621,0.9862484420440383,Class 2
0.014457831325301205,0.7931034482758621,0.9862484420440383,Class 2
0.016867469879518072,0.8275862068965517,0.9862484420440383,Class 2
0.016867469879518072,0.8620689655172413,0.9862484420440383,Class 2
0.024096385542168676,0.8620689655172413,0.9862484420440383,Class 2
0.03132530120481928,0.8620689655172413,0.9862484420440383,Class 2
0.03614457831325301,0.8620689655172413,0.9862484420440383,Class 2
0.043373493975903614,0.896551724137931,0.9862484420440383,Class 2
0.04819277108433735,0.896551724137931,0.9862484420440383,Class 2
0.05542168674698795,0.896551724137931,0.9862484420440383,Class 2
0.07228915662650602,0.9310344827586207,0.9862484420440383,Class 2
0.0746987951807229,0.9310344827586207,0.9862484420440383,Class 2
0.08433734939759036,0.9310344827586207,0.9862484420440383,Class 2
0.09156626506024096,0.9310344827586207,0.9862484420440383,Class 2
0.10120481927710843,0.9310344827586207,0.9862484420440383,Class 2
0.11566265060240964,0.9655172413793104,0.9862484420440383,Class 2
0.12771084337349398,0.9655172413793104,0.9862484420440383,Class 2
0.13253012048192772,0.9655172413793104,0.9862484420440383,Class 2
0.13734939759036144,1.0,0.9862484420440383,Class 2
0.14698795180722893,1.0,0.9862484420440383,Class 2
0.19036144578313252,1.0,0.9862484420440383,Class 2
0.20963855421686747,1.0,0.9862484420440383,Class 2
0.2385542168674699,1.0,0.9862484420440383,Class 2
0.27951807228915665,1.0,0.9862484420440383,Class 2
0.40240963855421685,1.0,0.9862484420440383,Class 2
1.0,1.0,0.9862484420440383,Class 2
0.0,0.0,0.9826548165137614,Class 3
0.0,0.125,0.9826548165137614,Class 3
0.0,0.25,0.9826548165137614,Class 3
0.0045871559633027525,0.25,0.9826548165137614,Class 3
0.0045871559633027525,0.375,0.9826548165137614,Class 3
0.011467889908256881,0.375,0.9826548165137614,Class 3
0.013761467889908258,0.375,0.9826548165137614,Class 3
0.013761467889908258,0.5,0.9826548165137614,Class 3
0.01834862385321101,0.5,0.9826548165137614,Class 3
0.020642201834862386,0.625,0.9826548165137614,Class 3
0.022935779816513763,0.625,0.9826548165137614,Class 3
0.027522935779816515,0.625,0.9826548165137614,Class 3
0.03211009174311927,0.75,0.9826548165137614,Class 3
0.034403669724770644,0.875,0.9826548165137614,Class 3
0.03669724770642202,0.875,0.9826548165137614,Class 3
0.0389908256880734,1.0,0.9826548165137614,Class 3
0.0481651376146789,1.0,0.9826548165137614,Class 3
0.05045871559633028,1.0,0.9826548165137614,Class 3
0.05733944954128441,1.0,0.9826548165137614,Class 3
0.06192660550458716,1.0,0.9826548165137614,Class 3
0.07339449541284404,1.0,0.9826548165137614,Class 3
0.0871559633027523,1.0,0.9826548165137614,Class 3
0.10321100917431193,1.0,0.9826548165137614,Class 3
0.11238532110091744,1.0,0.9826548165137614,Class 3
0.14220183486238533,1.0,0.9826548165137614,Class 3
0.21559633027522937,1.0,0.9826548165137614,Class 3
1.0,1.0,0.9826548165137614,Class 3
0.0,0.0,1.0,Class 4
0.0,0.14285714285714285,1.0,Class 4
0.0,0.42857142857142855,1.0,Class 4
0.0,0.7142857142857143,1.0,Class 4
0.0,1.0,1.0,Class 4
0.002288329519450801,1.0,1.0,Class 4
0.006864988558352402,1.0,1.0,Class 4
0.013729977116704805,1.0,1.0,Class 4
0.02745995423340961,1.0,1.0,Class 4
0.029748283752860413,1.0,1.0,Class 4
0.036613272311212815,1.0,1.0,Class 4
0.038901601830663615,1.0,1.0,Class 4
0.05263157894736842,1.0,1.0,Class 4
0.06636155606407322,1.0,1.0,Class 4
0.08237986270022883,1.0,1.0,Class 4
0.12814645308924486,1.0,1.0,Class 4
1.0,1.0,1.0,Class 4
0.0,,,Class 5
0.0022522522522522522,,,Class 5
0.0045045045045045045,,,Class 5
0.009009009009009009,,,Class 5
0.013513513513513514,,,Class 5
0.02702702702702703,,,Class 5
0.02927927927927928,,,Class 5
0.04279279279279279,,,Class 5
0.08333333333333333,,,Class 5
1.0,,,Class 5
